free_text,label_id
Kính_lúp như chó,1
dạy bơi để cá bơi thì đương_nhiên nó bơi được vì nó là cá làm_sao cho nó sống được mới là điều người_dân chúng_tôi quan_tâm,1
ý_thức còn ít hơn cả đếm tiền trong túi t,1
x...,1
- chim_lợn,1
Bằng miệng nói không sợ bị hậu_quả,1
vvcl,1
éo nha liu!,1
lại hợp với clm đến v thì trên f,1
nghe giọng nứkg Okabe,1
bóng khùng và điên,1
bảo dan tri thap thì?,1
đang lúc nước sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà_nước đỡ tốn cơm tốn gạo,1
đù dại ghê bọn đấy ngày nào nó cũng xuống phường xiên cho nó xiên đuợc tiếng luôn vào mặt mấy anh_chị cũng thương xiên hết mọi thằng trên phường luôn cho nó sum,1
tóm_lại là con gái hay hay bực_mình vl nhìn hoài ko ra,1
phạm linh ko co?,1
oh?,1
ăn_bận như anh họ,1
Ta khong phai la con nguoi nua tinh_tinh tinh,1
quá... lồn đi,1
làm cái đéo gì thì làm đừng léng ta nhắc đến vn nó gắn với từ ăn_cắp,1
ad hãy tìm số báo nào của báo quân_đội khi viết ba rách ô ba ma và trăm ba trăm vãi báo,1
bọn con_nít sủa bậy,1
trần bình trọng vừa xog giá_tiền cho các bác sống nhanh vl,1
Cà_phê nói_leo,1
Các má tu biên tu _din luon,1
"hoc c gi nua ve, voi ma kiem an z",1
đúng là chó làm người cũng chịu haiz,1
uống rượu là đi tù,1
Không hiểu kiểu gì,1
đờ mờ :,1
Bóng_chịch xã_giao thôi,1
chui nua di vi cho bo tat ngua,1
"lộc đéo cmt Cái bác đc yên r lộc cmt cái bác lên nóc tủ bắt con gà, đéo nào cũng có dấu răng của l",1
Bố lạy mày đừng hiếp_dâm thị_giác của bố nữa ad à,1
nổ con chó,1
có lồn đâu mà lấy mà chùi trời,1
đéo biết game phải là giải_trí không nữa,1
lưu bài đọc hại não vcl,1
cái máu lồn gì cũng kêu lỗ là thế chỗ nào nhỉ,1
đọc tờ báo xong buồn ĩa đéo chịu đc,1
suc vat là không thật,1
không hiểu clg đang sảy.,1
mang_tiếng fan cứng đăng nhưng đéo đc?,1
Không thấy nó đẹp ở chỗ nào cả,1
gu thời_trang đa địt à,1
quần gạ chịch?,1
già mà...,1
lỗ...,1
giống nhau một giọt nước mà mỗi cái là giọt nước_mắt với giọt nước thôi ạ,1
hãy nhớ con_người hơn những vật ở cái ý_thức,1
nhật cũng là nhật this nhật that à đất_nước văn_minh con_người được ca_ngợi sống đẹp mà vẫn có một_vài trường_hợp như thế là bảo sao việt_nam chả có chị n,1
mặc cái quần giống thằng này,1
im'i,1
về vn ăn bánh lol à,1
phúc_hưng...,1
đéo ai thèm làm vì họ biết khả_năng của họ tới đâu,1
thôi đi ăn lol rồi,1
Cứ coi y_chang như nó nhìn mình nó chửi vậy lol,1
trẻ ơi à,1
Pul ghê ta ơi,1
lừa khi hiếu còn sủa,1
toàn ngu_muội đi ra ngoài mà đánh đi,1
Nghe nó tức á chời,1
Có ai bắt xem,1
đm mặc sịp cho chim to vcl ạ,1
Cái mà k xem trọng sau_này không có cháu mà húp,1
lê_thị trang đắt :,1
